Jahr,Kw,AgeGroup,Count,CumulatedCount
2021,2,5,4312,39554
2021,2,10,5290,54956
2021,2,15,8471,90310
2021,2,20,12112,126574
2021,2,25,12124,125839
2021,2,30,13024,122325
2021,2,35,12228,108456
2021,2,40,11994,106814
2021,2,45,12445,112771
2021,2,50,14930,131405
2021,2,55,15016,123269
2021,2,60,11031,86045
2021,2,65,6354,50125
2021,2,70,5171,40677
2021,2,75,5951,43168
2021,2,80,8279,53693
2021,2,85,6951,41317
2021,2,90,5982,35107
2021,3,0,2115,30329
2021,3,5,3026,42580
2021,3,10,3381,58337
2021,3,15,5878,96188
2021,3,20,9084,135658
2021,3,25,9447,135286
2021,3,30,10060,132385
2021,3,35,9534,117990
2021,3,40,9526,116340
2021,3,45,9733,122504
2021,3,50,11999,143404
2021,3,55,12383,135652
2021,3,60,9188,95233
2021,3,65,5592,55717
2021,3,70,4454,45131
2021,3,75,5122,48290
2021,3,80,7443,61136
2021,3,85,5863,47180
2021,3,90,5259,40366
2021,4,0,1530,31859
2021,4,5,1939,44519
2021,4,10,2650,60987
2021,4,15,4957,101145
2021,4,20,8601,144259
2021,4,25,8424,143710
2021,4,30,9198,141583
2021,4,35,8096,126086
2021,4,40,8032,124372
2021,4,45,8563,131067
2021,4,50,10529,153933
2021,4,55,11091,146743
2021,4,60,8280,103513
2021,4,65,4981,60698
2021,4,70,4140,49271
2021,4,75,4646,52936
2021,4,80,6875,68011
2021,4,85,5592,52772
2021,4,90,4978,45344
2021,5,0,1913,33772
2021,5,5,2394,46913
2021,5,10,3327,64314
2021,5,15,6380,107525
2021,5,20,10888,155147
2021,5,25,10804,154514
2021,5,30,11601,153184
2021,5,35,10135,136221
2021,5,40,9530,133902
2021,5,45,9790,140857
2021,5,50,12090,166023
2021,5,55,12333,159076
2021,5,60,9266,112779
2021,5,65,5719,66417
2021,5,70,4826,54097
2021,5,75,5223,58159
2021,5,80,7668,75679
2021,5,85,6081,58853
2021,5,90,5417,50761
2021,6,0,1861,35633
2021,6,5,2205,49118
2021,6,10,2725,67039
2021,6,15,5408,112933
2021,6,20,8518,163665
2021,6,25,8539,163053
2021,6,30,9057,162241
2021,6,35,8020,144241
2021,6,40,7564,141466
2021,6,45,7965,148822
2021,6,50,9800,175823
2021,6,55,10038,169114
2021,6,60,7552,120331
2021,6,65,4414,70831
2021,6,70,3661,57758
2021,6,75,4322,62481
2021,6,80,6689,82368
2021,6,85,5555,64408
2021,6,90,5038,55799
2021,7,0,1699,37332
2021,7,5,1901,51019
2021,7,10,2221,69260
2021,7,15,4208,117141
2021,7,20,6444,170109
2021,7,25,6400,169453
2021,7,30,7026,169267
2021,7,35,6340,150581
2021,7,40,6231,147697
2021,7,45,6473,155295
2021,7,50,8186,184009
2021,7,55,8344,177458
2021,7,60,6233,126564
2021,7,65,3626,74457
2021,7,70,3064,60822
2021,7,75,3412,65893
2021,7,80,5329,87697
2021,7,85,4452,68860
2021,7,90,3944,59743
2021,8,0,1534,38866
2021,8,5,1644,52663
2021,8,10,1878,71138
2021,8,15,3475,120616
2021,8,20,5243,175352
2021,8,25,5352,174805
2021,8,30,5782,175049
2021,8,35,5206,155787
2021,8,40,5121,152818
2021,8,45,5305,160600
2021,8,50,6687,190696
2021,8,55,7024,184482
2021,8,60,5127,131691
2021,8,65,3128,77585
2021,8,70,2482,63304
2021,8,75,2826,68719
2021,8,80,4189,91886
2021,8,85,3323,72183
2021,8,90,2882,62625
2021,9,0,1512,40378
2021,9,5,1602,54265
2021,9,10,1726,72864
2021,9,15,2925,123541
2021,9,20,4384,179736
2021,9,25,4489,179294
2021,9,30,4921,179970
2021,9,35,4474,160261
2021,9,40,4293,157111
2021,9,45,4489,165089
2021,9,50,5309,196005
2021,9,55,5814,190296
2021,9,60,4221,135912
2021,9,65,2535,80120
2021,9,70,2064,65368
2021,9,75,2212,70931
2021,9,80,3150,95036
2021,9,85,2580,74763
2021,9,90,1938,64563
2021,10,0,1347,41725
2021,10,5,1391,55656
2021,10,10,1412,74276
2021,10,15,2379,125920
2021,10,20,3657,183393
2021,10,25,3660,182954
2021,10,30,3905,183875
2021,10,35,3603,163864
2021,10,40,3473,160584
2021,10,45,3558,168647
2021,10,50,4312,200317
2021,10,55,4510,194806
2021,10,60,3188,139100
2021,10,65,1921,82041
2021,10,70,1579,66947
2021,10,75,1699,72630
2021,10,80,2300,97336
2021,10,85,1655,76418
2021,10,90,1303,65866
2021,11,0,1376,43101
2021,11,5,1553,57209
2021,11,10,1579,75855
2021,11,15,2625,128545
2021,11,20,3966,187359
2021,11,25,3904,186858
2021,11,30,4111,187986
2021,11,35,3734,167598
2021,11,40,3591,164175
2021,11,45,3774,172421
2021,11,50,4514,204831
2021,11,55,4604,199410
2021,11,60,3256,142356
2021,11,65,2046,84087
2021,11,70,1597,68544
2021,11,75,1716,74346
2021,11,80,2003,99339
2021,11,85,1466,77884
2021,11,90,1072,66938
2021,12,0,1888,44989
2021,12,5,2008,59217
2021,12,10,1885,77740
2021,12,15,3076,131621
2021,12,20,4205,191564
2021,12,25,4158,191016
2021,12,30,4547,192533
2021,12,35,4188,171786
2021,12,40,4148,168323
2021,12,45,4058,176479
2021,12,50,4749,209580
2021,12,55,4850,204260
2021,12,60,3521,145877
2021,12,65,2127,86214
2021,12,70,1648,70192
2021,12,75,1581,75927
2021,12,80,1781,101120
2021,12,85,1206,79090
2021,12,90,834,67772
2021,13,0,2384,47373
2021,13,5,2733,61950
2021,13,10,2312,80052
2021,13,15,3223,134844
2021,13,20,4406,195970
2021,13,25,4277,195293
2021,13,30,4912,197445
2021,13,35,4591,176377
2021,13,40,4281,172604
2021,13,45,4298,180777
2021,13,50,4951,214531
2021,13,55,4642,208902
2021,13,60,3427,149304
2021,13,65,1996,88210
2021,13,70,1559,71751
2021,13,75,1366,77293
2021,13,80,1549,102669
2021,13,85,961,80051
2021,13,90,617,68389
2021,14,0,3000,50373
2021,14,5,3674,65624
2021,14,10,2875,82927
2021,14,15,4111,138955
2021,14,20,5449,201419
2021,14,25,5483,200776
2021,14,30,6032,203477
2021,14,35,5770,182147
2021,14,40,5347,177951
2021,14,45,5202,185979
2021,14,50,5912,220443
2021,14,55,5712,214614
2021,14,60,4128,153432
2021,14,65,2297,90507
2021,14,70,1810,73561
2021,14,75,1435,78728
2021,14,80,1645,104314
2021,14,85,939,80990
2021,14,90,612,69001
2021,15,0,4060,54433
2021,15,5,4773,70397
2021,15,10,4169,87096
2021,15,15,5557,144512
2021,15,20,6917,208336
2021,15,25,7023,207799
2021,15,30,7904,211381
2021,15,35,7633,189780
2021,15,40,7003,184954
2021,15,45,6522,192501
2021,15,50,7532,227975
2021,15,55,7278,221892
2021,15,60,5310,158742
2021,15,65,3194,93701
2021,15,70,2385,75946
2021,15,75,1898,80626
2021,15,80,1806,106120
2021,15,85,1117,82107
2021,15,90,647,69648
2021,16,0,5036,59469
2021,16,5,6705,77102
2021,16,10,5736,92832
2021,16,15,7198,151710
2021,16,20,8600,216936
2021,16,25,8464,216263
2021,16,30,9897,221278
2021,16,35,9484,199264
2021,16,40,9142,194096
2021,16,45,8203,200704
2021,16,50,9369,237344
2021,16,55,9098,230990
2021,16,60,6588,165330
2021,16,65,3912,97613
2021,16,70,2848,78794
2021,16,75,2230,82856
2021,16,80,2142,108262
2021,16,85,1263,83370
2021,16,90,669,70317
2021,17,0,4481,63950
2021,17,5,5188,82290
2021,17,10,4856,97688
2021,17,15,6612,158322
2021,17,20,8556,225492
2021,17,25,8401,224664
2021,17,30,9548,230826
2021,17,35,9000,208264
2021,17,40,8351,202447
2021,17,45,8012,208716
2021,17,50,9134,246478
2021,17,55,8983,239973
2021,17,60,6410,171740
2021,17,65,3978,101591
2021,17,70,2898,81692
2021,17,75,2180,85036
2021,17,80,1909,110171
2021,17,85,1186,84556
2021,17,90,641,70958
2021,18,0,4006,67956
2021,18,5,4655,86945
2021,18,10,5066,102754
2021,18,15,7455,165777
2021,18,20,9704,235196
2021,18,25,9135,233799
2021,18,30,10038,240864
2021,18,35,9370,217634
2021,18,40,9164,211611
2021,18,45,8664,217380
2021,18,50,9825,256303
2021,18,55,9579,249552
2021,18,60,6791,178531
2021,18,65,4273,105864
2021,18,70,3093,84785
2021,18,75,2330,87366
2021,18,80,1940,112111
2021,18,85,1061,85617
2021,18,90,768,71726
